Date,Time_from,Time_till,Titel,Description,Location,one_word_description
1,1 p.m.,3 p.m.,SS4C Meeting,Meeting to organize strike,Turanga,Meeting
5,7 p.m.,9 p.m.,SS4C Pickup,Pick up litter,Christchurch,Rubbish
